"";"x"
"Alanine";4
"Arginine";4
"Asparagine";2
"Aspartate";2
"Cystein";4
"Glutamate";2
"Glycine";2
"Isoleucine";2
"Leucine";2
"Serine";2
"Threonine";2
"Tryptophan";4
"beta.Sitosterol";3
"gamma.Tocopherol";2
"Eicosanoate";4
"Heptadecanoate";4
"Stearic.acid";4
"Tetracosanoate";4
"Quercitrin";4
"X4MTB";1
"X5..methylthio.pentanenitrile";2
"X5MTP";1
"X6MTH";1
"X7MTH";1
"X8MTO";1
"BenzoylGlucosinolate.3Breakdown";4
"BenzoylX.Glucosinolate.3";2
"Nonanenitrile.9.methylthio";4
"Sulfite";1
"U2609.4.361";2
"U3122.4.202.I3M.";1
"UGlucosinolate140.1";1
"UGlucosinolatebreakdown140.4";2
"H2SO4";2
"Fumarate";3
"Galactonate";2
"Gluconate";2
"Glycerate";4
"Maleate";4
"Pentonate.4";2
"Sinapinate.cis";4
"Succinate";4
"Allantoin";2
"beta.indole.3.acetonitrile";4
"myo.Inositol";3
"Xylitol";4
"Glycerol.3.P";2
"Anhydroglucose";2
"Arabinose";2
"Digalactosylglycerol";2
"Galactinol";1
"Galactose";2
"Glucopyranose..H2O.";2
"Raffinose";4
"Rhamnose";1
"Sucrose";2
"U1093.6.147";2
"U1154.3.156";3
"U1270.1.240";1
"U1393.172";2
"U1408.4.298";1
"U1559.4.217";4
"U1628.9.233";1
"U1718.0.157";2
"U1904.9.204";2
"U1983.0.217.1";4
"U2012.7.361";4
"U2053.6.321.1";1
"U2170.6.361";2
"U2371.1.361";1
"U2473.361";1
"U2513.2.296.1";4
"U2529.8.361";1
"U2688.5.333";3
"U2692.9.361";1
"U2756.4.271";1
"U2798.377";4
"U2828.8.361";1
"U2839.3.312";4
"U2857.8.342";2
"U2882.5.297";4
"U2924.3.361";1
"U2929.1.297";4
"U3080.7.361";2
"U3188.1.361";1
"U3218.5.297";4
"U3279.7.361";1
"U3415.9.498";4
"U3701.368";4
