"";"Dim.1";"Dim.2";"Dim.3";"Dim.4";"Dim.5"
"AT5G17920.1";0.05;0.93;0.12;-0.05;-0.24
"AT5G12030.1";0.02;0.92;0.22;0.14;0.2
"AT5G47810.1";0.03;0.9;-0.13;-0.13;0.3
"AT1G79550.1";0.06;0.89;-0.01;-0.12;0.42
"AT4G11150.1";0.24;0.87;0.04;-0.12;0.3
"AT3G27430.2";-0.03;0.86;-0.35;0.11;0.22
"AT5G48100.1";-0.15;0.85;0.12;-0.26;0.13
"AT4G02280.1";-0.11;0.85;0.3;-0.27;0.12
"AT5G61780.1";-0.32;0.84;-0.08;-0.11;-0.06
"AT5G13980.1";-0.17;0.84;0.37;0.12;-0.26
"AT2G18570.1";-0.13;0.83;0.04;0.43;-0.09
"AT3G57890.1";0.06;0.83;-0.36;-0.04;-0.37
"AT2G21870.1";0.35;0.81;-0.29;-0.12;0.24
"AT5G42270.1";0.26;0.81;0.45;-0.16;0.01
"AT1G10670.1";0.08;0.81;-0.07;0.26;0.46
"AT3G18190.1";0.37;0.8;-0.39;0.05;0.05
